Patient,Slice,Feature_2,Feature_27,Feature_280,Feature_435,Feature_446,Feature_800,Feature_1431,Feature_910,Feature_644,Feature_60,Feature_943,Feature_1351,Feature_1292,Feature_328,Feature_91,Feature_76,Feature_1503,Feature_1124,Feature_675,wavelet-LH_firstorder_Uniformity,wavelet-LH_glcm_Correlation,wavelet-HL_gldm_DependenceVariance,wavelet-LH_gldm_DependenceVariance,original_shape2D_MinorAxisLength,original_firstorder_10Percentile
25.0,199.0,0.21426117,0.7931897,0.26666105,0.30052018,0.36804903,0.2026596,0.14180918,0.23156452,0.33289495,0.05551201,0.091165066,0.34638748,0.07146673,0.53065884,0.38986772,0.13186586,0.15290445,0.7216141,0.25342548,0.1277913304559955,0.5829499852599819,2.4668324263464063,1.848939763557891,19.843959386918517,41.0
25.0,196.0,0.2174263,0.9335355,0.393054,0.32023048,0.40459263,0.19435629,0.05959981,0.1865114,0.35132745,0.023910016,0.209499,0.3350701,0.08701253,0.56415063,0.45177656,0.13362664,0.25066984,0.72476673,0.24113166,0.1235361471051706,0.5410796606359204,1.939598000204061,1.714881701413688,22.36297988117329,29.0
26.0,147.0,0.21995878,0.72501403,0.26901704,0.23694444,0.34112793,0.17570093,0.08584806,0.1477828,0.29297128,0.09696224,0.03918338,0.297888,0.036858574,0.54648757,0.39679784,0.14001665,0.17773676,0.70966744,0.27266622,0.1070547249237915,0.3363559423771063,1.4359123239947744,1.262737697779068,16.72291758896659,29.0
26.0,145.0,0.18503189,0.5566493,0.16080338,0.2619133,0.29836076,0.19234401,0.13880505,0.13448107,0.30356923,0.089783475,0.074962735,0.3073571,0.023753166,0.5692695,0.41436893,0.16005361,0.16081578,0.6277404,0.24557245,0.1410618679357525,0.3592537371916167,1.2986317668054728,1.488994646044021,18.346639090311303,26.500000000000004
26.0,143.0,0.21492136,0.61178803,0.27277005,0.303203,0.37747902,0.17853379,0.18520841,0.13573015,0.30605605,0.085472345,0.11810613,0.37313953,0.0,0.57635224,0.40701896,0.14572366,0.17083877,0.7157625,0.2444303,0.118543388429752,0.4345770883916648,1.587680785123967,1.7829287190082643,19.752053067279537,46.5
26.0,142.0,0.2419784,0.7734284,0.33068973,0.33437324,0.44190806,0.20664561,0.15790589,0.15503365,0.28373894,0.09284267,0.15350217,0.40068737,0.0,0.55759275,0.3914395,0.05699721,0.16663456,0.7898636,0.2344476,0.0958299779419488,0.4140089715613727,2.8139771016421,1.2899408284023668,19.58499560704632,31.0
26.0,141.0,0.23615468,0.73361546,0.3298719,0.33184397,0.42250764,0.22712538,0.15791333,0.14359719,0.28862742,0.09198648,0.16944915,0.397396,0.0,0.54106766,0.3937034,0.09988174,0.1873036,0.7599137,0.25074518,0.1061837712294963,0.4001347236188916,2.039628393090434,1.4086224415735231,19.13603474963119,28.0
27.0,257.0,0.14183748,0.42011917,0.114438176,0.14280209,0.24150634,0.08959964,0.04993123,0.12785393,0.36441204,0.018530548,0.0,0.27038148,0.09480785,0.5527555,0.36639732,0.19377501,0.17583656,0.63823247,0.1624682,0.1802045004484264,0.7291740678717802,3.270775406899249,3.647826761282027,28.7424595646882,64.60000000000001
27.0,258.0,0.14046669,0.44156832,0.11456132,0.1696035,0.25442886,0.08728644,0.0511705,0.14016664,0.3634173,0.010380805,0.0,0.2783307,0.09462105,0.5703836,0.3568967,0.18109746,0.19667065,0.6504836,0.15960646,0.153083300303871,0.7288700467438798,2.666369401506143,2.591846677236095,28.130666619238788,73.0
27.0,259.0,0.15142274,0.42671436,0.12986541,0.18402159,0.26814324,0.090139836,0.04410398,0.1150192,0.3547525,0.0,0.0,0.28142187,0.094477594,0.5806255,0.35750955,0.20486537,0.19445115,0.6511215,0.17686081,0.150302241088658,0.7248782854500194,2.9060229872395835,2.5309450418888644,28.327973387134747,75.2
27.0,260.0,0.14778566,0.4271118,0.14398766,0.17655712,0.27445585,0.08430475,0.059849,0.12189126,0.34958813,0.007493019,0.0,0.28815117,0.09215103,0.5703261,0.35734886,0.21371143,0.21074158,0.6695142,0.1826458,0.1416617707276256,0.72371646224637,2.8599682307955554,2.0394879737933738,28.21965351439386,76.0
